restaurant_name,cuisine_type,city,rating,number_of_reviews,price_range,avg_meal_cost,has_delivery,has_outdoor_seating,phone,date_opened
Green Leaf Vegan,thai food,Los Angeles,3.1,1094,$,8.06,True,,(440) 237-7844,2017-06-22
The Grill House,Korean,San Francisco,3.8,84,$,14.33,True,False,(323) 462-2731,2011-03-12
Spice Route,Thai,Phoenix,3.2,15,$$,25.83,No,False,N/A,2022-10-11
Seafood Shack,Thai,Denver,3.2,47,$$,30.62,True,Y,(949) 606-4469,2021-02-02
Falafel Factory,Chinese,Denver,2.3,429,$,19.98,True,N,(637) 936-2175,2010-11-28
Steakhouse 55,Mediterranean,Miami,3.6,68,$$,25.34,False,False,(873) 687-6869,2010-04-22
Curry House,chinese,San Francisco,4.7,4,$$,24.89,False,False,(574) 441-7823,2008-07-22
Dragon Wok,Japaneese,New York,4.0,168,$$,29.89,False,False,(902) 806-7534,2006-12-24
Olive Garden Express ,Italian,Chicago,5.0,99,$$$,56.83,False,,(694) 369-8665,12/12/2012
Sushi Palace,italian,denver,4.4,380,$$,27.8,Yes,False,(307) 750-8188,01/29/2018
Spice Route,American,Chicago,2.6,336,$,11.46,True,,(407) 850-1545,2015-09-07
The Pancake Spot,Japaneese,Phoenix,3.7,27,$$$,46.23,Yes,,(589) 271-1177,2014-09-13
Green Leaf Vegan, American,New York,4.5,235,$,11.43,No,True,(227) 210-6592,2019-12-05
The Golden Fork,french ,Houston,3.9,674,$,17.69,No,True,(949) 865-8568,2019-12-02
Pho Real,chinese,Seattle,4.9,399,$$,33.24,True,False,(855) 235-5862,2020-01-26
Kebab King,Mediterranean,San Francisco,4.9,45,$$,27.44,False,,(488) 644-5537,2023-12-22
Spice Route,italian,Chicago,3.2,24,$$$,44.8,False,,(624) 654-9450,2019-08-20
Steakhouse 55,Itallian,Boston,2.9,217,$$,26.06,,False,,2012-02-22
Spice Route,Japaneese,Los Angeles,4.5,379,$$,23.14,No,Y,(429) 491-4227,2007-11-06
Wings & Things,Korean,Seattle,4.5,130,$,14.48,yes,Y,(896) 418-5375,2005-06-17
Ramen Republic,Japanese,Boston,,269,$$,26.46,True,False,(297) 779-1903,2018-06-28
Falafel Factory,french ,Seattle,4.1,734,$$$,51.6,No,False,(695) 384-2643,2020-06-23
Olive Garden Express,italian,San Francisco,3.2,680,$,13.55,True,False,(825) 980-9010,2007-12-07
Kebab King,American,Los Angeles,3.4,-1,$$$,48.52,yes,False,(225) 603-4461,01/30/2024
The Grill House,french ,Houston,3.7,674,$$$,57.84,False,False,(959) 284-6904,02/21/2009
Wings & Things,French,Miami,4.3,133,$$,,True,,,05/21/2014
Taco Fiesta,Indian,Seattle,,-1,$,11.7,False,False,(255) 451-8989,2019-05-27
Pasta La Vista,Chinese,Miami,3.9,153,$$,26.81,,True,(809) 562-9274,2011-03-11
Olive Garden Express,Chinese,San Francisco,3.5,77,$$,24.52,True,True,(324) 281-3533,2007-05-17
Curry House,American,San Francisco,4.7,311,$$,23.84,True,True,(232) 996-3866,2016-11-04
Pasta La Vista,Chinese,Phoenix,3.1,1024,$$,29.76,Yes,False,(533) 393-2808,2006-04-05
Curry House,American,San Francisco,4.4,104,$$,14.24,True,True,(845) 232-2370,03/01/2020
The Grill House,Mediterranean,Seattle,2.9,480,$$,,Yes,False,(421) 395-8603,2022-02-10
Falafel Factory,Indian,Phoenix,3.6,-1,$$,16.81,No,,(638) 768-7262,2006-06-16
Ramen Republic,Korean,Houston,3.7,141,$$,31.12,True,,(976) 326-5805,2007-01-07
Green Leaf Vegan,chinese,Boston,4.4,305,$$$$,112.58,True,False,(532) 455-7053,2015-01-03
The Dumpling Den,italian,Phoenix,1.7,208,$$$,42.73,True,N,(952) 342-3107,2013-07-01
Kebab King,Chinese,Chicago,4.6,68,$$,20.08,No,True,(971) 790-6349,2017-12-19
The Golden Fork,Japanese,San Francisco,3.7,61,$$$,58.79,Yes,False,N/A,2018-01-23
Noodle Bar,Mexican,Seattle,,661,$$,25.27,No,False,(851) 868-4113,2013-06-09
The Grill House ,thai food,Boston,3.3,9,$$,34.22,False,Y,(488) 321-9084,2010-10-02
The Pancake Spot,Japaneese,Miami,2.4,99,$$,22.05,,False,(781) 388-5845,2006-02-03
BBQ Smoke House,Chinese,Seattle,4.6,166,$$$,46.7,False,N,N/A,2008-12-16
Wings & Things,Thai,Houston,4.0,516,$$$,,,True,(253) 874-1002,2009-12-28
Pizza Planet,thai food,New York,3.4,50,$$$,49.67,False,N,(870) 788-5294,2010-06-25
Green Leaf Vegan,INDIAN,Los Angeles,4.1,568,$$$,42.78,True,Y,(300) 793-1685,2013-09-13
Green Leaf Vegan,chinese,Denver,3.2,4,$$,14.56,False,False,(410) 683-2868,2017-09-26
Burger Barn,thai food,Houston,,6,$$$,48.25,True,False,(985) 542-6645,2016-04-05
The Dumpling Den,Chinese,Miami,4.6,10,$$$,45.37,True,Y,N/A,2009-03-02
Pasta La Vista,Japaneese,San Francisco,4.3,363,$$,29.02,True,True,(495) 919-2130,2005-11-15
Pasta La Vista,Thai,Denver,3.1,8,$$$,37.86,True,False,,2010-04-23
Wings & Things,Japanese,New York,2.8,58,$$,29.62,Yes,N,(327) 493-6228,2022-01-18
Kebab King,INDIAN,Boston,4.4,64,$$$$,85.77,No,False,N/A,2006-03-13
Spice Route,french ,New York,3.8,761,$$$,42.92,No,False,(966) 412-4298,03/02/2021
Mama Rosa's Kitchen,Itallian,New York,3.5,88,$$$,53.61,False,True,(567) 641-9337,2011-11-24
Curry House,Chinese,Boston,2.6,199,$$$,65.64,No,Y,(958) 804-4965,2022-05-08
Burger Barn,mexcian,Los Angeles,3.9,71,$$,18.07,True,False,(758) 307-6370,2012-09-16
The Golden Fork,italian,Los Angeles,2.2,189,$$$,64.14,yes,True,(514) 245-8173,2021-08-15
Kebab King,French,Chicago,3.7,395,$$,23.49,True,Y,(462) 757-9918,2011-09-12
Kebab King ,INDIAN,Miami,4.5,69,$$,20.66,False,N,(390) 522-8581,2018-11-22
Café Mocha,INDIAN,Phoenix,3.1,60,$$$$,115.77,No,False,(326) 657-9447,2019-01-08
SPICE ROUTE,italian,New York,2.3,319,$$$,53.58,No,False,(726) 243-6254,2008-03-27
Waffle World,French,Houston,3.0,71,$,12.74,True,False,(244) 956-7185,2016-04-19
Lobster Lounge,mexcian,Boston,3.5,78,$,14.32,False,False,(798) 967-7910,2017-07-22
Pho Real,Italian,New York,3.3,1,$,14.9,No,False,(724) 209-6111,2021-01-31
Noodle Bar,Japaneese,Miami,3.1,498,$,13.39,Yes,True,(994) 332-2604,2019-02-01
Taco Fiesta,Itallian,Phoenix,3.3,36,$$$$,,yes,False,,2018-09-23
Sushi Palace,Itallian,New York,4.4,307,$$,21.27,yes,True,(649) 943-4531,2012-12-14
Seafood Shack,mexcian,Houston,4.6,445,$$$,48.49,False,True,N/A,2017-05-24
Kebab King,french ,Los Angeles,4.0,12,$,10.19,yes,False,(884) 835-5162,2015-02-09
Spice Route,thai food,Boston,4.2,7,$$$,48.89,False,Y,(438) 756-3439,01/16/2019
Noodle Bar,ITALIAN,Houston,3.5,46,$$,21.97,yes,N,(232) 921-2163,09/30/2011
Waffle World,Itallian,Denver,2.9,724,$$$$,108.05,False,False,(529) 551-4431,01/22/2014
Sushi Palace,Italian,Los Angeles,3.3,138,$$$,54.51,True,True,(868) 562-2810,08/26/2016
Lobster Lounge,Itallian,Boston,4.1,408,$$,,yes,Y,(338) 317-5169,2013-07-14
Sushi Palace,italian,Phoenix,2.6,28,$$,24.11,yes,N,(840) 205-9045,2009-05-28
Burger Barn,Mediterranean,Los Angeles,2.7,535,$$,20.05,False,False,,2018-03-19
Pasta La Vista,INDIAN,Chicago,3.2,24,$$$$,78.19,No,,(224) 951-5464,2012-03-06
Green Leaf Vegan,INDIAN,Miami,3.8,99,$$,27.39,False,False,(818) 566-5523,2022-11-17
Waffle World,Thai,Boston,3.5,394,$$$,43.41,Yes,False,(986) 995-5386,2022-10-20
Pizza Planet,Mexican,Miami,,629,$$,21.64,No,True,(933) 984-9293,12/17/2017
Burger Barn,Mexican,New York,3.7,62,$,12.5,No,False,N/A,2011-12-13
Mama Rosa's Kitchen,Thai,New York,2.6,378,$,12.19,False,,(763) 937-3121,2007-10-22
Falafel Factory,American,Houston,3.6,123,$,9.39,Yes,N,(722) 575-4910,2013-01-29
Sushi Palace,italian,Houston,3.2,570,$$$,38.35,False,,(834) 634-1814,2006-10-12
Olive Garden Express ,INDIAN,Phoenix,4.1,33,$$$$,99.71,Yes,True,(256) 765-4803,2022-04-22
KEBAB KING ,italian,Seattle,4.3,138,$,9.85,True,True,(692) 671-1547,2005-07-29
The Golden Fork,American,Miami,4.0,476,$$,21.76,,True,(610) 968-1746,2009-11-23
Seafood Shack,Italian,New York,3.7,256,$$$,48.86,No,True,(269) 955-3267,2013-03-13
Sushi Palace,INDIAN,Phoenix,4.0,8,$$,21.17,No,True,N/A,2017-08-19
Noodle Bar,Itallian,Phoenix,4.0,69,$$$,55.48,No,False,,2015-12-24
Sushi Palace,thai food,Los Angeles,2.4,128,$,6.6,False,True,,2017-10-06
Pho Real,Mexican,Denver,4.1,18,$,11.12,No,False,N/A,2015-04-14
Falafel Factory,Mediterranean,New York,4.6,66,$$$,29.7,True,False,(435) 389-7651,2021-05-24
Pho Real,italian,Chicago,4.1,437,$$$,46.0,No,False,(948) 818-6915,2007-12-25
Wings & Things,mexcian,Phoenix,3.8,340,$,13.31,Yes,N,(946) 571-6837,2014-03-06
Pho Real,Indian,Houston,3.4,261,$,12.81,False,False,,2012-08-22
BBQ Smoke House,mexcian,Boston,3.5,859,$$,29.99,False,True,(374) 881-3755,2017-03-20
Steakhouse 55,Italian,Houston,3.2,125,$,10.26,Yes,False,(637) 705-6447,2010-03-26
Curry House,Mexican,Seattle,2.6,158,$,10.01,True,False,N/A,2015-08-13
Le Petit Bistro,INDIAN,Seattle,5.0,92,$$,31.65,False,False,(698) 446-9885,2011-11-15
Mama Rosa's Kitchen,Indian,seattle,3.6,142,$$$$,132.78,No,,(799) 998-6807,2016-06-23
Ramen Republic,Japaneese,Houston,3.6,281,$$,22.12,yes,,(897) 368-9047,2009-02-25
Noodle Bar,Itallian,Phoenix,3.6,21,$$,,True,,(320) 629-6329,2019-09-24
The Golden Fork,American,Houston,4.2,113,$$$$,83.78,yes,False,(323) 692-7072,2005-02-25
Le Petit Bistro,mexcian,Phoenix,2.7,227,$,19.68,True,Y,(258) 733-9933,2018-01-14
Ramen Republic,mexcian,Boston,3.6,185,$$$,65.14,True,Y,(613) 701-9472,2015-04-16
Curry House,italian,Miami,3.2,322,$$,34.77,True,True,(431) 868-4391,2016-04-05
Pho Real,Itallian,Boston,3.2,31,$$$$,56.95,Yes,True,N/A,03/09/2006
Lobster Lounge,chinese,New York,3.6,115,$$$$,82.12,Yes,False,N/A,2010-07-10
Mama Rosa's Kitchen,French,Seattle,4.4,624,$$$,59.51,False,True,(675) 989-4644,2009-12-30
The Pancake Spot,Japanese,san francisco,3.4,514,$,10.74,,False,,2018-10-23
Dragon Wok ,Mexican,Denver,3.4,-1,$,6.27,yes,False,N/A,2018-06-18
The Dumpling Den,French,Phoenix,3.1,-1,$$,24.74,Yes,False,(479) 692-9250,2013-12-30
Mama Rosa's Kitchen,Japaneese,san francisco,4.1,3,$$$,42.37,yes,N,(839) 347-7928,2006-09-04
Café Mocha,mexcian,Seattle,4.2,412,$$,22.09,True,True,(900) 636-9089,2008-06-26
The Pancake Spot,Japaneese,San Francisco,2.7,90,$$$,41.1,True,True,(846) 401-6902,05/08/2007
Spice Route ,Itallian,New York,4.2,1,$$$,31.04,True,False,(438) 358-8675,2018-10-03
Le Petit Bistro,italian,Seattle,4.4,86,$$,25.16,True,Y,(553) 801-7785,2019-03-16
The Golden Fork,INDIAN,Denver,3.1,234,$$$,41.19,False,True,(653) 341-4663,2006-06-16
STEAKHOUSE 55,Chinese,San Francisco,3.8,50,$$$,65.7,yes,Y,(762) 929-9687,2011-09-14
Taco Fiesta,INDIAN,Chicago,4.1,108,$$,23.22,False,True,(888) 355-9376,2022-02-03
Burger Barn,Japanese,Miami,4.1,255,$$,21.39,yes,True,N/A,2017-03-22
Pasta La Vista,Japanese,Boston,4.6,487,$$$,52.72,True,True,(823) 401-7777,2005-01-25
BBQ Smoke House,American,San Francisco,2.4,639,$$,19.68,yes,False,(449) 940-5618,2022-07-16
Taco Fiesta,Italian,San Francisco,4.4,259,$$,24.85,True,False,(839) 992-6937,2023-07-30
Lobster Lounge,Italian,Houston,3.6,233,$$$,49.77,False,True,(949) 241-8326,2012-10-05
Taco Fiesta,french ,Houston,3.4,60,$$,22.42,No,N,(229) 316-3636,2023-11-05
Taco Fiesta,chinese,San Francisco,3.3,217,$$$$,85.03,False,Y,(639) 282-9184,2021-11-28
Waffle World,INDIAN,Houston,3.4,121,$,5.0,No,Y,(450) 259-2108,2009-07-16
Kebab King,ITALIAN,Phoenix,3.6,29,$$,24.91,No,True,(895) 320-7254,2010-03-28
Pasta La Vista,Mexican,Phoenix,3.6,221,$$$$,118.94,yes,N,(270) 247-4553,2011-04-15
Curry House,Indian,Miami,3.3,70,$$$,44.84,No,True,(451) 339-8809,2006-09-16
Steakhouse 55,Mexican,Phoenix,3.9,95,$$$,,False,N,(283) 486-4533,2017-12-19
The Dumpling Den, American,Denver,3.6,236,$$,24.62,Yes,,,2010-10-19
Falafel Factory,thai food,Boston,4.2,257,$,11.99,Yes,Y,(450) 291-1086,2009-03-15
Kebab King,Japaneese,Miami,3.9,145,$$$,42.97,False,False,(750) 747-3277,2018-03-12
Wings & Things,Italian,Seattle,3.7,110,$$$,31.95,No,Y,,04/30/2020
Ramen Republic,Italian,Denver,4.3,145,$$$,48.38,True,,(596) 753-7821,2011-10-16
Taco Fiesta,thai food,New York,3.3,119,$$,28.08,False,N,(581) 780-5084,2005-09-06
Waffle World,mexcian,boston,3.2,610,$$,15.08,yes,Y,(508) 358-8914,2011-08-28
Curry House,thai food,Los Angeles,2.9,135,$$$,58.66,yes,,(433) 712-3482,2014-04-03
The Pancake Spot ,Korean,seattle,,17,$$$$,82.77,No,False,(921) 580-9606,2006-09-30
WAFFLE WORLD,ITALIAN,Seattle,4.5,499,$,5.24,yes,False,N/A,2009-07-30
Seafood Shack,Indian,New York,5.0,37,$$$,45.17,No,False,(251) 648-2327,2007-03-28
Waffle World,french ,Seattle,4.4,69,$$,21.45,No,True,(954) 293-2307,2009-03-07
Spice Route,thai food,Miami,2.9,347,$,11.22,No,False,(719) 871-3875,2022-05-31
Seafood Shack,thai food,Chicago,3.3,265,$,13.32,True,False,(601) 561-8842,2022-07-07
Noodle Bar ,Indian,Phoenix,4.1,292,$,14.55,False,True,(602) 720-4043,2017-03-22
The Pancake Spot ,Korean,Denver,2.7,327,$$,24.15,,True,(292) 819-4564,2019-05-11
Lobster Lounge ,Chinese,New York,3.9,180,$$,28.77,True,True,(829) 830-1517,2006-03-03
Lobster Lounge ,American,Houston,4.5,137,$$$,53.38,yes,True,(687) 517-2571,2013-09-14
Pasta La Vista,Thai,Boston,2.8,49,$$,14.09,,False,N/A,2009-02-03
Lobster Lounge,Itallian,San Francisco,4.4,584,$$,27.13,True,False,(921) 665-9149,2010-08-24
The Pancake Spot,Indian,New York,3.1,68,$$,25.03,No,N,(521) 610-6493,2008-09-03
Le Petit Bistro,french ,San Francisco,2.8,230,$$,,True,False,(356) 804-3866,2015-09-19
Burger Barn,Indian,New York,4.3,4,$,14.37,True,,(727) 749-3611,2011-06-12
Sushi Palace,mexcian,Boston,4.5,165,$$$$,115.4,No,False,(960) 494-8351,2005-07-28
Noodle Bar,ITALIAN,Phoenix,3.8,137,$$,19.34,No,False,(208) 892-8006,2023-08-11
Curry House,Mediterranean,Chicago,4.3,231,$$,28.12,Yes,Y,(454) 803-6662,2011-05-07
Waffle World,thai food,Phoenix,4.1,48,$$$$,79.33,True,True,(435) 674-9486,2016-07-22
The Golden Fork,French,Seattle,3.4,1110,$$,25.21,False,N,(735) 409-6899,2014-08-14
Steakhouse 55 ,Japaneese,san francisco,4.4,-1,$$$,61.06,Yes,False,(985) 866-5762,01/01/2016
The Dumpling Den,French,Chicago,4.2,42,$,10.75,False,True,(573) 298-3583,2018-12-14
Noodle Bar,Mexican,Boston,4.1,5,$,8.24,True,False,(537) 672-7241,2005-10-31
The Dumpling Den, American,boston,3.8,11,$$$$,123.86,False,False,N/A,2011-09-17
Kebab King,Japaneese,Chicago,4.5,274,$$,21.24,No,N,,2017-06-06
Dragon Wok,thai food,Seattle,3.6,291,$$$,,No,Y,(383) 253-2530,2005-07-07
Kebab King,Chinese,Houston,4.5,125,$$$,57.13,True,N,(364) 828-7329,2012-10-19
The Grill House,Itallian,San Francisco,3.8,167,$$$,,Yes,True,(365) 744-5329,07/21/2022
Lobster Lounge, American,Los Angeles,3.2,813,$$,28.66,yes,,(970) 927-1627,2017-05-08
Green Leaf Vegan,thai food,Los Angeles,4.0,62,$$$,50.48,True,,(947) 268-2160,2015-05-03
Falafel Factory,Thai,Miami,4.7,36,$$$,65.48,yes,False,(513) 357-1598,2014-10-22
Waffle World,Mediterranean,Boston,2.9,153,$$$,49.98,True,True,(745) 909-6672,2010-02-20
Pasta La Vista,INDIAN,San Francisco,3.7,392,$$,29.9,yes,True,N/A,2016-01-23
Pho Real,italian,Phoenix,3.3,436,$$$,41.04,No,Y,(714) 672-5357,2022-01-30
Ramen Republic,French,San Francisco,3.9,170,$$,27.55,No,False,(872) 325-6379,2014-04-24
Ramen Republic,Japaneese,Boston,4.2,142,$,15.42,True,Y,(441) 395-7336,2008-07-22
Wings & Things,Itallian,Houston,,216,$$$,66.85,False,True,(897) 706-4981,2019-02-25
Falafel Factory,French,Los Angeles,3.2,5,$$,24.11,True,False,(585) 251-3928,2019-11-15
The Dumpling Den,Japanese,Boston,2.7,350,$$$,57.95,Yes,True,(410) 918-5535,06/05/2011
Pizza Planet,mexcian,Miami,4.2,203,$$$,56.77,False,False,(299) 744-1114,02/13/2017
The Dumpling Den,italian,Denver,2.6,17,$$$,37.03,No,False,(288) 887-3502,01/04/2007
Pasta La Vista,Japaneese,New York,3.2,328,$$,23.71,True,,N/A,2011-02-20
Ramen Republic,chinese,Miami,3.4,17,$,13.77,False,True,(774) 241-6126,2007-09-26
RAMEN REPUBLIC,chinese,Miami,4.3,156,$$$$,40.82,yes,N,(814) 628-2870,2010-02-12
Seafood Shack,ITALIAN,Denver,3.7,29,$,14.92,yes,True,(453) 372-2120,2018-10-01
Le Petit Bistro,Mexican,Miami,4.2,637,$$,24.38,Yes,N,(339) 305-3009,2016-03-04
Steakhouse 55,Mexican,San Francisco,2.2,78,$,8.59,No,False,(332) 666-6628,2020-07-17
Taco Fiesta,Thai,New York,4.7,162,$,11.11,False,True,N/A,2024-01-05
Ramen Republic, American,Los Angeles,5.0,76,$$$,66.35,No,False,(912) 992-3236,2013-08-26
The Grill House,french ,Miami,2.3,481,$$$,42.21,Yes,,(618) 724-6025,08/30/2010
Curry House,French,Boston,3.0,220,$$$,62.81,,,(525) 402-7165,2016-11-26
Dragon Wok,Thai,Seattle,3.7,61,$$,16.4,False,N,(789) 593-3750,06/05/2008
Dragon Wok ,Indian,Miami,4.4,19,$$$,40.4,True,Y,(670) 688-6750,10/24/2018
BBQ Smoke House,Japaneese,Denver,4.7,194,$$$,45.11,True,True,(254) 572-7323,03/08/2015
Curry House,Japanese,Los Angeles,2.6,120,$$,22.09,Yes,False,,2018-01-20
Ramen Republic,french ,Boston,5.0,40,$$,28.11,No,True,(929) 848-1796,2019-04-06
Burger Barn,French,Seattle,4.0,-1,$,10.46,Yes,Y,(712) 668-6820,2009-04-14
Wings & Things,Chinese,Boston,4.2,347,$$,28.41,No,,(269) 734-2319,2009-06-26
The Pancake Spot,thai food,Los Angeles,3.4,206,$,13.53,True,False,(929) 763-2311,2018-09-28
Pho Real,Japanese,Seattle,3.6,15,$$,23.16,False,True,(699) 809-1544,2023-10-24
Waffle World,Mexican,San Francisco,3.4,680,$,12.17,yes,N,(619) 914-3586,2019-04-04
Ramen Republic,mexcian,Seattle,3.1,166,$$,24.53,True,True,N/A,11/10/2023
WINGS & THINGS,Thai,Chicago,4.1,20,$$,23.77,Yes,False,(545) 389-4413,2020-01-21
Olive Garden Express, American,Chicago,5.0,19,$$,19.36,True,True,(660) 475-5687,07/26/2008
Pizza Planet,mexcian,Houston,3.4,15,$$$$,56.8,,N,(337) 771-1122,2018-10-23
Pho Real,Thai,Denver,3.2,30,$$,20.09,Yes,False,(819) 550-3120,2024-01-18
Spice Route ,Thai,Houston,4.5,161,$$$$,98.56,Yes,Y,(988) 651-1757,2017-12-09
Green Leaf Vegan,Japanese,Boston,,116,$$,18.87,True,True,(809) 945-3380,2020-02-04
Falafel Factory,French,New York,3.2,39,$,13.63,,False,(797) 526-7304,2009-07-19
Pho Real,Chinese,Houston,4.3,149,$$,25.78,True,,(650) 653-7721,2008-09-19
Pho Real,Italian,Chicago,4.5,620,$,11.98,True,Y,(703) 998-1363,2008-09-23
Noodle Bar,Italian,new york,4.6,11,$$,24.39,True,True,N/A,2015-12-08
Seafood Shack,mexcian,Miami,3.1,583,$$$$,72.64,,N,(276) 244-9105,2007-02-27
Sushi Palace,Mediterranean,Seattle,4.1,297,$$,17.58,yes,N,(804) 259-9515,2023-07-17
Olive Garden Express,American,Miami,3.5,60,$,16.66,False,False,N/A,02/18/2022
Spice Route,Japaneese,Los Angeles,4.5,379,$$,23.14,No,Y,(429) 491-4227,2007-11-06
Taco Fiesta,American,Boston,4.1,40,$$,28.77,True,Y,N/A,2008-06-02
Falafel Factory ,Chinese,Houston,2.2,88,$$$$,90.16,,False,N/A,2023-09-13
Pasta La Vista,Indian,New York,3.9,64,$$$,41.21,,True,N/A,2021-03-10
Spice Route, American,Miami,3.6,58,$,20.21,True,,N/A,2013-03-24
Burger Barn,thai food,Chicago,3.4,294,$$$$,84.32,True,Y,(341) 334-8587,2018-09-12
Olive Garden Express,French,Boston,4.2,362,$$,20.36,True,N,(351) 507-3624,2008-06-07
Pho Real,ITALIAN,Chicago,3.5,199,$$,22.87,No,N,N/A,2012-05-27
Café Mocha,Japaneese,Phoenix,4.6,462,$$,30.24,False,False,,2016-01-18
The Pancake Spot,American,New York,3.3,308,$$,25.65,No,True,(900) 602-2100,11/30/2007
Pizza Planet,italian,Phoenix,2.9,185,$$,30.1,No,False,N/A,10/17/2017
Spice Route,Korean,Boston,3.4,122,$$$$,98.57,yes,False,(499) 590-2837,2016-05-14
Steakhouse 55,Itallian,Denver,3.9,95,$$,30.5,True,False,(419) 953-1914,2016-08-18
Green Leaf Vegan,Korean,Denver,4.1,145,$$,25.99,True,N,(907) 611-9893,2011-03-29
Taco Fiesta,Italian,houston,3.5,164,$$$$,81.28,True,False,(631) 826-2887,2005-01-30
Wings & Things, American,Denver,3.9,938,$$$,70.95,False,True,(388) 781-5412,2010-03-14
Pasta La Vista ,Japaneese,Phoenix,,83,$$,20.83,False,False,(692) 733-6272,07/22/2015
Lobster Lounge ,Mediterranean,New York,,65,$$,25.25,yes,,(894) 423-5822,2014-06-30
The Golden Fork,Japaneese,Seattle,4.1,115,$$$,54.41,False,True,(746) 268-8178,2014-01-12
Lobster Lounge ,mexcian,New York,4.7,-1,$$,17.41,True,N,(445) 407-6976,2011-03-05
Pizza Planet,ITALIAN,Chicago,2.8,248,$$,,No,True,(540) 916-1186,2021-10-02
Falafel Factory,Korean,Seattle,4.5,54,$,10.58,yes,N,(974) 680-9434,2013-09-04
Wings & Things, American,San Francisco,5.0,-1,$$,16.31,Yes,False,(304) 524-7109,2005-05-10
Spice Route ,INDIAN,Houston,,178,$$,,True,False,,2005-03-08
Le Petit Bistro,Korean,Los Angeles,,352,$$,27.35,True,True,(967) 733-6988,2022-07-12
Taco Fiesta,Chinese,Denver,4.3,121,$$,22.78,yes,False,(891) 266-5557,2007-12-24
BBQ Smoke House,French,New York,4.0,119,$$$,61.58,yes,Y,(433) 885-5594,2023-05-30
Kebab King,thai food,New York,4.0,247,$$$,44.99,False,True,(553) 852-2158,2022-02-24
BBQ Smoke House, American,Phoenix,3.8,105,$$$,51.47,True,False,(965) 982-5008,2010-05-04
Lobster Lounge,Thai,Phoenix,4.4,267,$$$,52.86,False,,(419) 468-5596,2006-08-14
Pizza Planet,mexcian,New York,4.2,234,$$$,57.79,yes,False,N/A,2020-01-19
Seafood Shack, American,Phoenix,4.6,27,$$$$,111.64,False,,N/A,2016-05-04
Burger Barn,Indian,Los Angeles,4.5,401,$$,19.91,Yes,True,(220) 865-6065,2019-12-09
The Pancake Spot,Japaneese,Chicago,2.9,52,$$$,,True,True,(412) 616-4138,2006-09-28
THE PANCAKE SPOT,italian,Boston,3.4,227,$$$,30.23,No,False,N/A,2017-03-09
Curry House,Thai,New York,3.9,118,$,13.3,No,N,(766) 587-4259,2019-05-09
STEAKHOUSE 55,Itallian,Boston,3.7,293,$$$,43.29,True,N,(549) 917-1243,2008-01-10
The Golden Fork,Mediterranean,New York,4.6,370,$$,27.13,No,,(728) 874-3878,2012-10-24
BBQ Smoke House,INDIAN,Boston,4.6,37,$$,23.71,False,False,(935) 771-2959,2017-05-19
Falafel Factory,Japanese,Denver,3.7,407,$$$,,True,N,(615) 496-2884,2022-12-03
Falafel Factory,french ,Denver,3.5,69,$$,23.74,False,,(284) 893-1996,2013-08-25
Spice Route,INDIAN,Boston,4.4,161,$$,26.61,False,False,(491) 780-3914,2006-01-01
Wings & Things,french ,Chicago,5.0,14,$$,17.07,True,N,,2011-07-21
Wings & Things,french ,Chicago,3.9,1,$,14.78,True,True,(525) 373-9815,2010-09-14
